Search_image,Target_image,Matched,Matching_percentage
EY6A_6ZCZ.pdbx90.jpg,CR3022_6YLA.pdbx90.tga,Not Matched,1.2
EY6A_6ZCZ.pdby90.jpg,EY6A_6ZCZ.pdby90.tga,Matched,2.4
E_7KN5.pdb.jpg,E_7KN5.pdb.tga,Matched,1.6
E_7KN5.pdbx90.jpg,E_7KN5.pdbx90.tga,Matched,2.0
E_7KN5.pdby90.jpg,E_7KN5.pdby90.tga,Matched,2.2
H014_7CAI.pdb.jpg,H014_7CAI.pdb.tga,Matched,3.8
H014_7CAI.pdbx90.jpg,H014_7CAI.pdbx90.tga,Matched,2.6
H014_7CAI.pdby90.jpg,H014_7CAI.pdby90.tga,Matched,2.4
H11-D4_6YZ5.pdb.jpg,H11-D4_6YZ5.pdb.tga,Matched,1.2
H11-D4_6YZ5.pdbx90.jpg,H11-D4_6YZ5.pdbx90.tga,Matched,2.2
H11-D4_6YZ5.pdby90.jpg,H11-D4_6YZ5.pdby90.tga,Matched,2.8000000000000003
H11-H4_6ZH9.pdb.jpg,H11-H4_6ZH9.pdb.tga,Matched,2.0
H11-H4_6ZH9.pdbx90.jpg,H11-H4_6ZH9.pdbx90.tga,Matched,2.0
H11-H4_6ZH9.pdby90.jpg,H11-D4_6YZ5.pdby90.tga,Not Matched,1.7999999999999998
LY-CoV481_7KMI.pdb.jpg,LY-CoV481_7KMI.pdb.tga,Matched,2.0
LY-CoV481_7KMI.pdbx90.jpg,LY-CoV481_7KMI.pdbx90.tga,Matched,1.6
LY-CoV481_7KMI.pdby90.jpg,LY-CoV481_7KMI.pdby90.tga,Matched,3.4000000000000004
LY-CoV488_7KMH.pdb.jpg,LY-CoV488_7KMH.pdb.tga,Matched,2.0
LY-CoV488_7KMH.pdbx90.jpg,LY-CoV488_7KMH.pdbx90.tga,Matched,1.4
LY-CoV488_7KMH.pdby90.jpg,LY-CoV488_7KMH.pdby90.tga,Matched,2.0
LY-CoV555_7KMG.pdb.jpg,LY-CoV555_7KMG.pdb.tga,Matched,1.6
LY-CoV555_7KMG.pdbx90.jpg,LY-CoV555_7KMG.pdbx90.tga,Matched,1.6
LY-CoV555_7KMG.pdby90.jpg,LY-CoV555_7KMG.pdby90.tga,Matched,3.6
MR17_7C8W.pdb.jpg,MR17_7C8W.pdb.tga,Matched,2.4
MR17_7C8W.pdbx90.jpg,MR17_7C8W.pdbx90.tga,Matched,3.0
MR17_7C8W.pdby90.jpg,MR17_7C8W.pdby90.tga,Matched,4.0
Nb20_7JVB.pdb.jpg,Nb20_7JVB.pdb.tga,Matched,2.4
Nb20_7JVB.pdbx90.jpg,BD-368-2_7CHF.pdbx90.tga,Not Matched,0.8
Nb20_7JVB.pdby90.jpg,Nb20_7JVB.pdby90.tga,Matched,1.7999999999999998
P17_7CWN.pdb.jpg,CV30_6XE1.pdb.tga,Not Matched,1.0
P17_7CWN.pdbx90.jpg,P17_7CWN.pdbx90.tga,Matched,2.8000000000000003
P17_7CWN.pdby90.jpg,P17_7CWN.pdby90.tga,Matched,3.8
P2B-2F6_7BWJ.pdb.jpg,P2B-2F6_7BWJ.pdb.tga,Matched,2.0
P2B-2F6_7BWJ.pdbx90.jpg,P2B-2F6_7BWJ.pdbx90.tga,Matched,3.2
P2B-2F6_7BWJ.pdby90.jpg,P2B-2F6_7BWJ.pdby90.tga,Matched,2.0
P2C-1A3_7CDJ.pdb.jpg,P2C-1A3_7CDJ.pdb.tga,Matched,1.6
P2C-1A3_7CDJ.pdbx90.jpg,P2C-1A3_7CDJ.pdbx90.tga,Matched,1.7999999999999998
P2C-1A3_7CDJ.pdby90.jpg,P2C-1A3_7CDJ.pdby90.tga,Matched,2.2
P2C-1F11_7CDI.pdb.jpg,P2C-1F11_7CDI.pdb.tga,Matched,2.2
P2C-1F11_7CDI.pdbx90.jpg,BD-629_7CH5.pdbx90.tga,Not Matched,2.2
P2C-1F11_7CDI.pdby90.jpg,P2C-1F11_7CDI.pdby90.tga,Matched,2.0
P4A1_7CJF.pdb.jpg,P4A1_7CJF.pdb.tga,Matched,2.2
P4A1_7CJF.pdbx90.jpg,P4A1_7CJF.pdbx90.tga,Matched,3.2
P4A1_7CJF.pdby90.jpg,P4A1_7CJF.pdby90.tga,Matched,1.7999999999999998
REGN10933_6XDG.pdb.jpg,REGN10933_6XDG.pdb.tga,Matched,1.7999999999999998
REGN10933_6XDG.pdbx90.jpg,REGN10933_6XDG.pdbx90.tga,Matched,1.6
